Ski Area,State,Website,Year Opened
Campton Mountain,NH,www.camptonmountain.com,1970
Deer Mountain Ski Resort,SD,https://www.facebook.com/Deer-Mountain-Ski-Resort-,1970
Keystone Resort,CO,www.keystoneresort.com,1970
"Nordic Valley Recreation, LP",UT,www.nordicvalley.com,1970
Canaan Valley Resort,WV,www.canaanresort.com,1971
Cloudmont Ski,AL,www.cloudmont.com,1971
Devil's Head Resort & Convention Center,WI,www.devilsheadresort.com,1971
McIntyre Ski Area,NH,www.mcintyreskiarea.com,1971
Mount Pleasant of Edinboro,PA,www.skimountpleasant.com,1971
Quechee Ski Area,VT,www.quecheeclub.com,1971
Royal Gorge Cross Country Ski Resort,CA,www.royalgorge.com,1971
Snowbird,UT,www.snowbird.com,1971
49 Degree North Mountain Resort,WA,www.ski49n.com,1972
Copper Mountain Resort,CO,www.coppercolorado.com,1972
Eastman  Cross Country,NH,www.eastmannh.org/ski,1972
Jack Frost Mountain,PA,www.jfbb.com,1972
Kirkwood Mountain Resort,CA,www.kirkwood.com,1972
Northstar California,CA,www.northstarcalifornia.com,1972
Powder Mountain,UT,www.powdermountain.com,1972
Sunrise Park Resort,AZ,www.sunriseskiparkaz.com,1972
Tahoe Donner Ski Resort,CA,www.skitahoedonner.com,1972
Telluride Ski & Golf Resort,CO,www.tellurideskiresort.com,1972
Wild Mountain,MN,www.wildmountain.com,1972
Big Sky Resort,MT,www.bigskyresort.com,1973
Bretton Woods Ski Area,NH,www.brettonwoods.com,1973
Discovery Ski Area,MT,www.skidiscovery.com,1973
Massanutten Resort,VA,www.massresort.com,1973
Mt. Eyak Ski Area,AK,www.mteyak.org,1974
Pocono Ranch Lands Property Owners,PA,www.poconoranchlands.com,1974
Snowshoe,WV,www.snowshoemtn.com,1974
Spirit Mountain Recreation Area,MN,www.spiritmt.com,1974
Sundown Mountain Ski and Snowboard Resort,IA,www.sundownmtn.com,1974
Eaglecrest Ski Area,AK,www.skieaglecrest.com,1975
Mount Lakeridge Ski & Board Center,CT,http://lakeridgect.com/skiing,1975
Shawnee Mountain Ski Area,PA,www.shawneemt.com,1975
Wintergreen Resort,VA,www.wintergreenresort.com,1975
Alta Sierra Ski Resort & Terrain Park,CA,www.altasierra.com,1976
Christie Mountain Snow Area,WI,www.christiemountain.com,1976
Frost Fire Park,ND,www.frostfireskiarea.com,1976
Ski Big Bear at Masthope Mountain,PA,www.ski-bigbear.com,1976
Blue Mountain Resort,PA,www.skibluemt.com,1977
Mount Kato Ski Area,MN,www.mountkato.com,1977
"Paoli Peaks, Inc.",IN,www.paolipeaks.com,1978
Beaver Creek Resort,CO,www.beavercreek.com,1980
Bluewood Ski Area,WA,www.bluewood.com,1980
Kissing Bridge Corp.,NY,www.kbski.com,1980
"Andes Tower Hills, Inc.",MN,www.andestowerhills.com,1981
Deer Valley Resort,UT,www.deervalley.com,1981
Perfect North Slopes,IN,www.perfectnorth.com,1981
